"winter","intermediary","summer","ramadan"
0.00217443665364235,0.00259427019215329,0.0035292779532195,0.0035828025477707
0.00205735160306161,0.00251565594390622,0.00342390140769684,0.00339546646684151
0.00202389873146711,0.00245711341861585,0.00329008992131885,0.00327838141626077
0.00200717229566986,0.00243536905207943,0.00322820210886903,0.00316296900925975
0.00196535620617674,0.00234170101161484,0.00307264625595461,0.00297897821549002
0.00217443665364235,0.00238518974468768,0.00301577637424397,0.0028100412139378
0.00242533319060108,0.00270633731199486,0.00341721083337794,0.00306595568163571
0.00272640903495156,0.00314289728630306,0.00392736712519403,0.00343560991275491
0.00307264625595461,0.00347742600224803,0.00432545629716855,0.00384708023336723
0.00315126050420168,0.00359785633998822,0.00449272065514104,0.00400430872986137
0.00323656532676765,0.00373501311352567,0.0046917652411283,0.00406786918589092
0.00323154739602848,0.00363465449874217,0.00480048707381042,0.00418662688005138
0.00308937269175186,0.00356774875555318,0.00485066638120216,0.0042819675640957
0.00309606326607076,0.00360120162714767,0.00483895787614409,0.00417659101857303
0.00315795107852058,0.00363130921158272,0.00473023604346197,0.00392736712519403
0.00312282556334636,0.00364803564737997,0.00461482363646095,0.00376010276722154
0.00332354279291334,0.00357778461703153,0.00451446502167746,0.00365305357811915
0.00372999518278649,0.00330179842637692,0.00421673446448643,0.00357443932987208
0.00368817909329337,0.00318136808863673,0.00390060482791843,0.0036363271423219
0.00359785633998822,0.00371995932130814,0.004328801584328,0.00386547931274421
0.00331183428785527,0.003562730824814,0.00433214687148745,0.00387216988706311
0.00303584809720066,0.00323656532676765,0.00407623240378954,0.00381362736177273
0.00280167799603918,0.00295388856179414,0.0039725285018466,0.00378853770807686
0.00248554835947118,0.00275651661938661,0.0039725285018466,0.00377348391585934
0.00228483112990419,0.00258757961783439,0.00381362736177273,0.00359116576566933
0.00220788952523685,0.00252903709254402,0.00361291013220575,0.00347408071508858
0.00215436493068565,0.00245878606219558,0.00346237221003051,0.00332856072365252
0.00215436493068565,0.00244875020071723,0.00338208531820371,0.00327503612910132
0.00215269228710593,0.00234504629877429,0.0031863860193759,0.00302748487930204
0.00229988492212171,0.00242366054702136,0.00316965958357865,0.0028769469571268
0.00253070973612375,0.00273979018358936,0.003562730824814,0.00308602740459241
0.00278495156024193,0.00316464165283948,0.00408794090884762,0.0035426591018573
0.00316129636568003,0.00357443932987208,0.00450275651661939,0.00395747470962907
0.00321482096023123,0.00373668575710539,0.004711836964085,0.00411470320612321
0.00325496440614462,0.00383202644114971,0.00485902959910079,0.004261895841139
0.0032131483166515,0.00372832253920677,0.0050346571749719,0.00439737997109672
0.00315795107852058,0.00369821495477172,0.00497778729326125,0.00444588663490874
0.00312282556334636,0.00374839426216346,0.00490084568859391,0.00440239790183589
0.00315627843494086,0.00379690092597549,0.00485401166836161,0.00424516940534175
0.00313118878124498,0.00379857356955521,0.00476870684579564,0.00409463148316652
0.00321816624739068,0.00368316116255419,0.00458638869560563,0.00399761815554247
0.00372163196488787,0.00336535888240647,0.00436392709950222,0.00393740298667238
0.00369152438045282,0.00319809452443398,0.00404277953219504,0.00389725954075898
0.00349749772520473,0.00370323288551089,0.00443585077343039,0.00408459562168817
0.00332187014933362,0.00367312530107584,0.00435221859444415,0.00414481079055826
0.00305090188941819,0.00335866830808757,0.00409964941390569,0.00407288711663009
0.00281338650109725,0.00306762832521544,0.00402103516565862,0.00403776160145587
0.00254241824118182,0.00285854787774983,0.00398758229406412,0.00401434459133972
0.00235675480383236,0.00275317133222716,0.00380860943103356,0.00385209816410641
0.00221625274313547,0.00260932398437082,0.0035894931220896,0.00368316116255419
0.00218614515870042,0.00255914467697907,0.00348244393298721,0.00354098645827758
0.00213429320772895,0.00250896536958733,0.00343895519991436,0.00345568163571161
0.00218279987154097,0.00246380399293475,0.0032131483166515,0.00322151153455013
0.00225806883262859,0.00247885778515228,0.00321816624739068,0.00295054327463469
0.00253740031044265,0.00281171385751753,0.00349247979446556,0.00316296900925975
0.00277658834234331,0.00325161911898517,0.00383202644114971,0.00355938553765455
0.00309271797891131,0.0035828025477707,0.00407455976020982,0.00391064068939678
0.00317802280147728,0.00379522828239576,0.00426022319755928,0.00407121447305037
0.00317802280147728,0.00384708023336723,0.00430705721779158,0.00414648343413799
0.00311948027618691,0.00378184713375796,0.00436559974308195,0.00424684204892148
0.00304421131509929,0.00372163196488787,0.00435890916876305,0.0043488733072847
0.00308602740459241,0.00368148851897447,0.00418495423647166,0.00424516940534175
0.00309439062249103,0.00376010276722154,0.00417993630573248,0.00415150136487716
0.00311111705828828,0.00377181127227961,0.00407623240378954,0.00393573034309265
0.00321147567307178,0.0036095648450463,0.00394242091741155,0.00381530000535246
0.00367647058823529,0.00334695980302949,0.00376846598512016,0.00374003104426484
0.00367145265749612,0.00320311245517315,0.00347909864582776,0.00382031793609163
0.00353095059679923,0.00361458277578547,0.00394743884815073,0.00398089171974522
0.00338543060536316,0.0035426591018573,0.00391398597655623,0.00392402183803458
0.00314456992988278,0.00331183428785527,0.00354600438901675,0.00381530000535246
0.0028434940855323,0.00306595568163571,0.00335532302092812,0.00372163196488787
0.00259259754857357,0.00280836857035808,0.00328507199057967,0.00369319702403254
