"winter","intermediary","summer","ramadan"
0.00671134344784215,0.00760062102036003,0.0112019495322695,0.0105485024762204
0.00648533920289285,0.00742866126876818,0.0106123732410974,0.0102045829730367
0.0063281188585803,0.00722230956685795,0.0101701910227183,0.00977714016193696
0.0063281188585803,0.00719283075229935,0.00993436050624951,0.0096199198176244
0.00632320572282053,0.00688821633519377,0.00935952362235673,0.00889277572517884
0.00675556166968006,0.00711913371590284,0.00931039226475906,0.00845059350679978
0.00743357440452795,0.00804771637449886,0.0104649791683044,0.00906473547677069
0.00818037104001258,0.00929565285747976,0.0120077037968713,0.0104060215391872
0.00928582658596022,0.0104993711186227,0.0132261614652936,0.0116244792076095
0.00944304693027278,0.0109759452873202,0.0138403034352645,0.0120863139690276
0.00956096218850719,0.0112559940256269,0.014272659382124,0.0125186699158871
0.00943813379451301,0.0109513796085213,0.0147885386368996,0.0129166339124283
0.00927600031444069,0.0108629431648455,0.0146214920210675,0.0130591148494615
0.00917282446348558,0.0110103372376385,0.0143954877761182,0.0129313733197076
0.00927108717868092,0.0111528181746718,0.0142579199748447,0.0124695385582894
0.00919739014228441,0.0111577313104316,0.0140073500510966,0.0120273563399104
0.00945287320179231,0.0108187249430076,0.013471818253282,0.0117423944658439
0.0109317270654823,0.00988522914865184,0.0128183711972329,0.0115655215784923
0.0108432906218065,0.0093939155726751,0.0118750491313576,0.0114476063202578
0.0102733668736735,0.0108776825721248,0.0130296360349029,0.0119978775253518
0.00975748761889788,0.010789246128449,0.0127839792469146,0.0121747504127034
0.00896155962581558,0.00986557660561277,0.0120420957471897,0.0119634855750334
0.00826389434792862,0.00901069098341325,0.0118111783664806,0.0118603097240783
0.00746796635484632,0.00839654901344234,0.0117129156512853,0.0117915258234416
