Power Plant Emission Factors,,,,
,,,,
Scenario 1,Values in t co2e / MWh,,,
Year,Steam Turbine,OcGT,ccGT,csp_gas_firing
2015,0.53,0.67,0.35,0.202
2020,0.53,0.63,0.34,0.202
2025,0.52,0.59,0.34,0.202
2030,0.51,0.56,0.33,0.202
2035,0.51,0.53,0.33,0.202
2040,0.51,0.51,0.33,0.202
